REFERENCE1,DOI,YEAR_OBS,YEAR_PUB
 Adis__J.__Furgh__K.__Irmler__U.__1979_Tropical_Ecology_20:236-245,NA,,1979
 Aerts__R._1989._Oikos_56:31-38,10.2307/3566084,,1989
 Aerts__R._1990._Oecologia_84:391-397,10.1007/BF00329765,,1990
 Alban__D.H.__Perala__D._Schlaegel__B._1978._Can._J._For._Res._8:290-299,10.1139/x78-044,,1978
 Alvares-Sanchez__J.__1993__Tropical_Ecology__34__127-142,NA,,1993
 Alway__F.__Kittredge__J._Jr._1933._Soil_Sci._35:4:307-312,NA,,1933
 Alway__F._J._et_al._1933_Soil_Science_36:399-40,NA,,1933
 Alway__F._J._et_al._1933_Soil_Science_36:399-407,NA,,1933
 Alway__F.J.__Zon__R._1930._J._of_Forestry._28:715-727,NA,,1930
 Anderson__Folke._1970._Bot._Notiser_123:8-51.,NA,,1970
 Anderson__J.H._1972._Proceeding_1972_Tundra_Biome_Symposium.,NA,,1972
 Andersson_&_Enander_1948_Svenska_Skog._Tidskrift_46:265-70,NA,,1948
 Ando__T.__et.al.__1977__JIBP_Synthesis__Ch._7.4,NA,,1977
 Andreev__D.P._and_A.A._Pugachev._1981._Ekologiya._2:8-13.,NA,,1981
 Arianoutsou__M._1989._Acta_Oecologica_Oecologia_plantarum_10(4):371-378,NA,,1989
 Arnason__J._&_Lambert__J._1982_Plant_and_Soil_67:333-342,10.1007/978-94-009-7639-9_30,,1982
 Arthur__M.A._1992._Canadian_Journal_of_forest_Research_22:_315-325,10.1139/x92-041,,1992
 Ashton__D._1975_Australian_J._of_Botany_23:413-433,10.1071/BT9750413,,1975
 Attiwill__P.M._1968._Ecology_49:1:142-145.,10.2307/1933568 ,,1968
 Attiwill__P.M._1972._Aust._For.-Tree_Nutr._Conf._1971._Forest._&_Timb._Bur.__Can,NA,,1972
 Bandhu__Desh._1973_Modeling_Forest_Ecosys._(Kern__ed.)_EDFB-IBP-73-7._ORNL_39-61,NA,,
 Bargali__S.S._1993._Soil_Biology_and_Biochemistry_25:1731-1738,NA,,
 Bartholomew__W._et_al._1953_INEAC_57:1-27,NA,,
 Basilevich_N.I.__1993_Biological_Productivity_of_Ecosystems_of_Northern_Eurasia_Moskpw_Navka_Publishers,NA,,
 Basov__V._G._1987._Ekologiya__6:25-31,NA,,
 Bazilavich_N.I.__1993_Biological_Productivity_of_Ecosystems_of_Northern_Eurasia_Moskpw_Navka_Publishers,NA,,
 Bazilevich_1993,NA,,
 Bazilevich_N.I.__1993_Biological_Productivity_of_Ecosystems_of_Northern_Eurasia_Moskpw_Navka_Publishers,NA,,
 Bazilevich_N.I._1993_Biological_Productivity_of_Ecosystems_of_Northern_Eurasia_Moskpw_Navka_Publishers,NA,,
